Name,GarbageType,DetailType,Description,Url
アームスタンド,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
モニタースタンド,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
アームバンド,普通ごみ,,,
IH調理器,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
電磁調理器,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
IHクッキングヒーター,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
電気調理器,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
ハロゲンプレート,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
電磁調理台,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
ih調理機,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
インダクションレンジ,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
卓上IH,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
ハロゲンコンロ,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
ICレコーダー,小物金属,,長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
ボイスレコーダー,小物金属,,長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
録音機,小物金属,,長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
アイシャドウチップ,普通ごみ,,,
化粧チップ,普通ごみ,,,
アイスクラッシャー,普通ごみ,小物金属,金属製のものは小物金属として出してください。,
アイスクリームのふた(プラスチック製),プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイスのふた,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイスのフタ,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイスの内ぶた,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイスクリームのふた(紙製),ミックスペーパー,普通ごみ,汚れがひどいものは普通ごみとして出してください。,
アイスクリームの容器・包装(プラスチック製),プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイスクリームのカップ,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイスの容器,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイス容器,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイスのカップ,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイスカップ,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイスクリーム容器,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイスクリームカップ,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
Coolish,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
クーリッシュ,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
カップアイス,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
カップアイスクリーム,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイスの包紙,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイスの外装,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイスキャンデー外装,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイス外装,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
チューペット,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
アイスクリームの容器・包装(紙製),ミックスペーパー,普通ごみ,汚れがひどいものは普通ごみとして出してください。,
アイスクリームの紙カップ,ミックスペーパー,普通ごみ,汚れがひどいものは普通ごみとして出してください。,
アイスクリームメーカー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
アイスクリーム製造機,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
アイスクリーマー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
アイスクリーム機,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
アイスメーカー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
アイスの棒,普通ごみ,,,
アイス棒,普通ごみ,,,
アイスピック,小物金属,,厚紙等で包み「刃物キケン」と表示して出してください。,
アイスペール(ガラス製),普通ごみ,,,
氷入れ,普通ごみ,,,
アイスバケツ,普通ごみ,,,
アイスペール(金属製),小物金属,粗大ごみ,最長辺30cm以上のもには粗大ごみとして出してください。,
アイスペール(プラスチック製),普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
アイスホッケー防具,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
アイスボックス,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
アイゼン,小物金属,,,
アイマスク,普通ごみ,,,
スチームアイピロー,普通ごみ,,,
アイピロー,普通ごみ,,,
アイライナー・アイブロー,普通ごみ,,,
アイペンシル,普通ごみ,,,
化粧鉛筆,普通ごみ,,,
アイブロウペンシル,普通ごみ,,,
アイライン,普通ごみ,,,
アイブラシ,普通ごみ,,,
ペンシルアイライナー,普通ごみ,,,
眉ペン,普通ごみ,,,
アイロン,小物金属,,,
電気アイロン,小物金属,,,
スチームアイロン,小物金属,,,
コードレスアイロン,小物金属,,,
自動裁縫こて,小物金属,,,
アイロンスチーマー,小物金属,,,
ガスアイロン,小物金属,,,
アイロンケース(プラスチック製),普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
アイロン台,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
仕上げ馬,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
