ID,頭文字,品目名,読み,類似語,出し方（一覧）,出し方（詳細）,出し方のポイント,URL1
1,あ,アームスタンド,あーむすたんど,モニタースタンド,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
2,あ,アームバンド,あーむばんど,,普通ごみ,,,
3,あ,IH調理器,あいえいちりょうりき,電磁調理器 IHクッキングヒーター 電気調理器 ハロゲンプレート 電磁調理台 ih調理機 インダクションレンジ 卓上IH ハロゲンコンロ,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。/長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
4,あ,ICレコーダー,あいしーれこーだー,ボイスレコーダー 録音機,小物金属,,長辺30cm未満で、30cm×15cmの回収ボックスの投入口に入るものは小型家電としても出すことができます。,http://www.city.kawasaki.jp/kurashi/category/24-1-23-1-1-6-9-0-0-0.html
5,あ,アイシャドウチップ,あいしゃどうちっぷ,化粧チップ,普通ごみ,,,
6,あ,アイスクラッシャー,あいすくらっしゃー,,普通ごみ,小物金属,金属製のものは小物金属として出してください。,
7,あ,アイスクリームのふた(プラスチック製),あいすくりーむのふた（ぷらすちっくせい）,アイスのふた アイスのフタ アイスの内ぶた,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
8,あ,アイスクリームのふた(紙製),あいすくりーむのふた（かみせい）,アイスのふた アイスのフタ アイスの内ぶた,ミックスペーパー,普通ごみ,汚れがひどいものは普通ごみとして出してください。,
9,あ,アイスクリームの容器・包装(プラスチック製),あいすくりーむのようきほうそうぷらすちっくせい,アイスクリームのカップ アイスの容器 アイス容器 アイスのカップ アイスカップ アイスクリーム容器 アイスクリームカップ Coolish クーリッシュ カップアイス カップアイスクリーム アイスの包紙 アイスの外装 アイスキャンデー外装 アイス外装 チューペット,プラスチック製容器包装,普通ごみ,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
10,あ,アイスクリームの容器・包装(紙製),あいすくりーむのようきほうそうかみせい,アイスクリームのカップ アイスの容器 アイス容器 アイスのカップ アイスカップ アイスクリーム容器 アイスクリームカップ アイスクリームの紙カップ カップアイス カップアイスクリーム アイスの外装 アイスキャンデー外装 アイス外装,ミックスペーパー,普通ごみ,汚れがひどいものは普通ごみとして出してください。,
11,あ,アイスクリームメーカー,あいすくりーむめーかー（きんぞくせい）,アイスクリーム製造機 アイスクリーマー アイスクリーム機 アイスメーカー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
12,あ,アイスの棒,あいすのぼう,アイス棒,普通ごみ,,,
13,あ,アイスピック,あいすぴっく,,小物金属,,厚紙等で包み「刃物キケン」と表示して出してください。,
14,あ,アイスペール(ガラス製),あいすぺーる,氷入れ アイスバケツ,普通ごみ,,,
15,あ,アイスペール(金属製),あいすぺーる（きんぞくせい）,アイスバケツ,小物金属,粗大ごみ,最長辺30cm以上のもには粗大ごみとして出してください。,
16,あ,アイスペール(プラスチック製),あいすぺーる（ぷらすちっくせい）,アイスバケツ,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
17,あ,アイスホッケー防具,あいすほっけーぼうぐ,,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
18,あ,アイスボックス,あいすぼっくす,,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
19,あ,アイゼン,あいぜん,,小物金属,,,
20,あ,アイマスク,あいますく,スチームアイピロー アイピロー,普通ごみ,,,
21,あ,アイライナー・アイブロー,あいらいなー,アイペンシル 化粧鉛筆 アイブロウペンシル アイライン アイブラシ ペンシルアイライナー 眉ペン,普通ごみ,,,
22,あ,アイロン,あいろん,電気アイロン スチームアイロン コードレスアイロン 自動裁縫こて アイロンスチーマー ガスアイロン,小物金属,,,
23,あ,アイロンケース(プラスチック製),あいろんけーす（ぷらすちっくせい）,,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
24,あ,アイロン台,あいろんだい,仕上げ馬 アイロン掛け台 アイロンだい アイロンの台 アイロンスタンド,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
25,あ,アイロン台カバー,あいろんだいかばー,,普通ごみ,,,
26,あ,アイロンバッグ,あいろんばっぐ,,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
27,あ,アイロンプリント紙,あいろんぷりんとし,アイロン熱転写紙 アイロンシート,ミックスペーパー,,,
28,あ,アイロンマット,あいろんまっと,,普通ごみ,粗大ごみ,排出時に最長辺50cm以上のものは粗大ごみとして出してください。,
29,あ,アウトドア缶（ＯＤ缶）,あうとどあかん,ＯＤ缶,小物金属,,中身を使いきって出してください。（穴あけは不要です。）/プラスチック製のキャップはプラスチック製容器包装として出してください。（識別表示を確認して出してください。）/中身が出せない場合は「中身入り」と張り紙をして出してください。,
30,あ,アウトドア用椅子（金属製）,あうとどあよういす（きんぞくせい）,キャンプ用いす ディレクターズチェア キャンプ用椅子 キャンピングチェア キャンプ用品 キャンプいす レジャーチェア レジャーチェアー デレクターズチェア レジャー椅子 アウトドアチェア サマーチェアー ガーデンチェアー キャンプ椅子 キャンプ用イス ピクニックチェアー キャンプベンチ 三脚イス アウトドア椅子 アウトドア用チェアー キャンプチェア キャンプチェアー バーベキューチェアー アウトドアチェアー ディレクターズチェアー ディレクターチェアー 金属の椅子 アウトドア用いす 野外用椅子 キャンピングチェアー キャンプイス フォールディングチェア キャンプのいす,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
31,あ,アウトドア用椅子（金属製以外）,あうとどあよういす（きんぞくせいいがい）,キャンプ用いす ディレクターズチェア キャンプ用椅子 キャンピングチェア キャンプ用品 キャンプいす レジャーチェア レジャーチェアー デレクターズチェア レジャー椅子 アウトドアチェア サマーチェアー ガーデンチェアー キャンプ椅子 キャンプ用イス ピクニックチェアー キャンプベンチ 三脚イス アウトドア椅子 アウトドア用チェアー キャンプチェア キャンプチェアー バーベキューチェアー アウトドアチェアー ディレクターズチェアー ディレクターチェアー 金属の椅子 アウトドア用いす 野外用椅子 キャンピングチェアー キャンプイス フォールディングチェア キャンプのいす,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
32,あ,青焼き,あおやき,,ミックスペーパー,,,
33,あ,あかすり,あかすり,アカスリ あかすりタオル,普通ごみ,,,
34,あ,アクセサリー,あくせさりー,カチューシャ ネックレス ピアス 髪飾り 髪留め イヤリング 装飾品 シルバー ブローチ パール バレッタ 真珠 ヘアアクセサリー ヘアクリップ 腕輪 ブレスレッド 髪どめ ダッカール ヘア止め 金属の装飾品 小さな貴金属 ブレスレット かみどめ バングル ヘアバレッタ ぴんどめ ヘアーアクセサリー イアリング ラインストーン 磁気ネックレス ビーズアクセサリー ティアラ かみとめ 髪止め かんざし バンスクリップ おもちゃの指輪 バナナクリップ ヘア飾り かみかざり ばれった ループタイ チョーカー 簪 ヘアコーム シルバーアクセサリー ヘアークリップ ペンダントトップ 銀アクセサリー,小物金属,普通ごみ,金属製以外のものは普通ごみとして出してください。,
35,あ,あく取り,あくとり,アク取り アク取りおたま,小物金属,普通ごみ,プラスチック製のものは普通ごみとして出してください。,
36,あ,握力計,あくりょくけい,握力器,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
